timestamp,mac,frequency,length,rssi,crc,expected,srcmac,transctr,pkctr,txnumpk,txpower,txifdur,txlength,txfillbyte
2015-04-08_22.34.44,14-15-92-00-12-91-b5-cc,11,100,-88,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b2-bb,11,100,-78,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c6-f5,11,100,-74,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b2-bf,11,100,-71,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c4-ea,11,100,-81,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c2-2f,11,100,-96,0,0,14-15-92-00-12-91-b2-7b,1,16,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b8-71,11,100,-64,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c5-34,11,100,-78,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b0-b4,11,100,-60,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-cc-61,11,100,-89,0,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-bf-4d,11,100,-77,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-be-29,11,100,-70,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c8-c8,11,100,-76,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-bd-2d,11,100,-79,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b6-1a,11,100,-61,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c4-69,11,100,-69,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-92-1c-af,11,100,-70,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
